index,url,identifier,dataset_title,thema_name,set_name,subset_name
92,https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_43.csv,183@statistisches-amt-kanton-zuerich,Höhe [m.ü.M.],<pandas.core.indexing._iLocIndexer object at 0x7f800a0e7e50>,<pandas.core.indexing._iLocIndexer object at 0x7f800a0e7540>,<pandas.core.indexing._iLocIndexer object at 0x7f800a0e7130>
93,https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_119.csv,305@statistisches-amt-kanton-zuerich,KRW Wähleranteil SVP [%],<pandas.core.indexing._iLocIndexer object at 0x7f800a0e7180>,<pandas.core.indexing._iLocIndexer object at 0x7f800a0e04f0>,<pandas.core.indexing._iLocIndexer object at 0x7f800a0e01d0>
94,https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_204.csv,298@statistisches-amt-kanton-zuerich,Bevölkerung: Heimat Ausland [Pers.],<pandas.core.indexing._iLocIndexer object at 0x7f800a0e0220>,<pandas.core.indexing._iLocIndexer object at 0x7f800a0dc590>,<pandas.core.indexing._iLocIndexer object at 0x7f800a0dc270>
95,https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_193.csv,32@statistisches-amt-kanton-zuerich,Verkäufe Stockwerkeigentum [Anz.],<pandas.core.indexing._iLocIndexer object at 0x7f800a0ec040>,<pandas.core.indexing._iLocIndexer object at 0x7f800a0d2720>,<pandas.core.indexing._iLocIndexer object at 0x7f800a0d23b0>
96,https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_149.csv,43@statistisches-amt-kanton-zuerich,Schül. Primarschule [Anz.],<pandas.core.indexing._iLocIndexer object at 0x7f800a0d2400>,<pandas.core.indexing._iLocIndexer object at 0x7f800a0cd7c0>,<pandas.core.indexing._iLocIndexer object at 0x7f800a0cd400>
97,https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_436.csv,7@statistisches-amt-kanton-zuerich,KRW Wähleranteil AL [%],<pandas.core.indexing._iLocIndexer object at 0x7f800a0cd450>,<pandas.core.indexing._iLocIndexer object at 0x7f800a0c9950>,<pandas.core.indexing._iLocIndexer object at 0x7f800a0c95e0>
98,https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_805.csv,285@statistisches-amt-kanton-zuerich,Bevölkerung: Heimat Schweiz [Pers.],<pandas.core.indexing._iLocIndexer object at 0x7f800a0c9630>,<pandas.core.indexing._iLocIndexer object at 0x7f800a0c3810>,<pandas.core.indexing._iLocIndexer object at 0x7f800a0c3400>
99,https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_809.csv,289@statistisches-amt-kanton-zuerich,Bevölkerung: Durchschnittsalter [Jahre],<pandas.core.indexing._iLocIndexer object at 0x7f800a0c3450>,<pandas.core.indexing._iLocIndexer object at 0x7f800a0bee00>,<pandas.core.indexing._iLocIndexer object at 0x7f800a0bea90>
100,https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_470.csv,325@statistisches-amt-kanton-zuerich,Anteil 1-Personenhaushalte [%],<pandas.core.indexing._iLocIndexer object at 0x7f800a0beae0>,<pandas.core.indexing._iLocIndexer object at 0x7f800a3c6e50>,<pandas.core.indexing._iLocIndexer object at 0x7f800a3c6b30>
101,https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_144.csv,215@statistisches-amt-kanton-zuerich,Schül. Kindergarten [pro 1000 Einw.],<pandas.core.indexing._iLocIndexer object at 0x7f800a3c6b80>,<pandas.core.indexing._iLocIndexer object at 0x7f800a3c1ef0>,<pandas.core.indexing._iLocIndexer object at 0x7f800a3c1b80>
102,https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_456.csv,348@statistisches-amt-kanton-zuerich,5-Personenhaushalte [Anz.],<pandas.core.indexing._iLocIndexer object at 0x7f800a3c1bd0>,<pandas.core.indexing._iLocIndexer object at 0x7f800a3bce50>,<pandas.core.indexing._iLocIndexer object at 0x7f800a3bcbd0>
103,https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_458.csv,349@statistisches-amt-kanton-zuerich,6 und mehr Personenhaushalte [Anz.],<pandas.core.indexing._iLocIndexer object at 0x7f800a3bcc20>,<pandas.core.indexing._iLocIndexer object at 0x7f800a3bc130>,<pandas.core.indexing._iLocIndexer object at 0x7f800a3b6c70>
104,https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_262.csv,354@statistisches-amt-kanton-zuerich,Anteil Vollzeitbeschäftigte Landwirtschaft [%],<pandas.core.indexing._iLocIndexer object at 0x7f800a3b6cc0>,<pandas.core.indexing._iLocIndexer object at 0x7f800a3b6630>,<pandas.core.indexing._iLocIndexer object at 0x7f800a3b2cc0>
105,https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_449.csv,371@statistisches-amt-kanton-zuerich,Durchschnittliche Haushaltsgrösse [Pers.],<pandas.core.indexing._iLocIndexer object at 0x7f800a3b2d10>,<pandas.core.indexing._iLocIndexer object at 0x7f800a3b21d0>,<pandas.core.indexing._iLocIndexer object at 0x7f800a3ad270>
106,https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_496.csv,372@statistisches-amt-kanton-zuerich,Anteil 4-Personenhaushalte [%],<pandas.core.indexing._iLocIndexer object at 0x7f800a3ad220>,<pandas.core.indexing._iLocIndexer object at 0x7f800a3addb0>,<pandas.core.indexing._iLocIndexer object at 0x7f800a3c1400>
107,https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_495.csv,369@statistisches-amt-kanton-zuerich,"MIV-Wege Quell-, Ziel- und Binnenverkehr [Anz.]",<pandas.core.indexing._iLocIndexer object at 0x7f800a3a7ea0>,<pandas.core.indexing._iLocIndexer object at 0x7f800a3a75e0>,<pandas.core.indexing._iLocIndexer object at 0x7f800a3a72c0>
108,https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_823.csv,388@statistisches-amt-kanton-zuerich,Anteil GK C [%],<pandas.core.indexing._iLocIndexer object at 0x7f800a3a7310>,<pandas.core.indexing._iLocIndexer object at 0x7f800a3e0ae0>,<pandas.core.indexing._iLocIndexer object at 0x7f800a3e0680>
109,https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_182.csv,185@statistisches-amt-kanton-zuerich,Bauinvestitionen [Mio.Fr.],<pandas.core.indexing._iLocIndexer object at 0x7f800a3e0720>,<pandas.core.indexing._iLocIndexer object at 0x7f800a3dab80>,<pandas.core.indexing._iLocIndexer object at 0x7f800a3da860>
110,https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_174.csv,152@statistisches-amt-kanton-zuerich,Bauinv. Landwirtschaft 5 Jahre [Fr./Einw.],<pandas.core.indexing._iLocIndexer object at 0x7f800a3da8b0>,<pandas.core.indexing._iLocIndexer object at 0x7f800a3d5a40>,<pandas.core.indexing._iLocIndexer object at 0x7f800a3d5720>
111,https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_294.csv,24@statistisches-amt-kanton-zuerich,Anteil natürl. Pers. an allg. Gemeindesteuern [%],<pandas.core.indexing._iLocIndexer object at 0x7f800a3d5770>,<pandas.core.indexing._iLocIndexer object at 0x7f800a3d0b30>,<pandas.core.indexing._iLocIndexer object at 0x7f800a3d0810>
112,https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_591.csv,343@statistisches-amt-kanton-zuerich,VZÄ im Primärsektor [Anz.],<pandas.core.indexing._iLocIndexer object at 0x7f800a3d0860>,<pandas.core.indexing._iLocIndexer object at 0x7f800a3cbae0>,<pandas.core.indexing._iLocIndexer object at 0x7f800a3cb7c0>
113,https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_836.csv,410@statistisches-amt-kanton-zuerich,Katholische Kirchensteuerpflichtige [Anz.],<pandas.core.indexing._iLocIndexer object at 0x7f800a3cb810>,<pandas.core.indexing._iLocIndexer object at 0x7f800a0fe590>,<pandas.core.indexing._iLocIndexer object at 0x7f800a0fe8b0>
127,https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_365.csv,241@statistisches-amt-kanton-zuerich,Anteil 6+ Zi.-Wohnungen [%],<pandas.core.indexing._iLocIndexer object at 0x7f800a10a9f0>,<pandas.core.indexing._iLocIndexer object at 0x7f800a10a950>,<pandas.core.indexing._iLocIndexer object at 0x7f800a10ae50>
160,https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_603.csv,679@statistisches-amt-kanton-zuerich,Motorrad-Neuzulasssungen pro 1000 Einw. [Anz.],<pandas.core.indexing._iLocIndexer object at 0x7f800a10a040>,<pandas.core.indexing._iLocIndexer object at 0x7f800a10d720>,<pandas.core.indexing._iLocIndexer object at 0x7f800a10da40>
161,https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_613.csv,689@statistisches-amt-kanton-zuerich,Neuzulassungen anderer Antrieb [%],<pandas.core.indexing._iLocIndexer object at 0x7f800a10d9f0>,<pandas.core.indexing._iLocIndexer object at 0x7f800a108720>,<pandas.core.indexing._iLocIndexer object at 0x7f800a108a40>
165,https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_604.csv,680@statistisches-amt-kanton-zuerich,Bestand Benzinmotor [%],<pandas.core.indexing._iLocIndexer object at 0x7f800a1089f0>,<pandas.core.indexing._iLocIndexer object at 0x7f800a1144a0>,<pandas.core.indexing._iLocIndexer object at 0x7f800a1147c0>
166,https://www.web.statistik.zh.ch/ogd/data/KANTON_ZUERICH_608.csv,684@statistisches-amt-kanton-zuerich,Bestand anderer Antrieb [%],<pandas.core.indexing._iLocIndexer object at 0x7f800a1145e0>,<pandas.core.indexing._iLocIndexer object at 0x7f800a114db0>,<pandas.core.indexing._iLocIndexer object at 0x7f800a118270>
